,backer_id,cf_id,name,email
0,av166,968.0,Angelo Vincent,avincent@live.com
1,ha127,563.0,Hubert Arnold,harnold@yandex.com
2,lg794,65.0,Loris Goulet,lgoulet@yandex.com
3,tb566,563.0,Teodora Brunelli,tbrunelli@outlook.com
4,lh506,563.0,Lexie Hunt,lhunt@live.com
5,lh382,563.0,Lambert Huber,lhuber@live.com
6,em444,563.0,Emmy Morin,emorin@live.com
7,at582,1572.0,Armonda Trani,atrani@live.com
8,id772,1911.0,Ilana Duke,iduke@outlook.com
9,lw275,65.0,Leigha Wright,lwright@live.com
10,ub509,65.0,Uwe Becker,ubecker@yahoo.com
11,ha915,1572.0,Hawa Audy,haudy@gmail.com
12,bb881,968.0,Bia Bonura,bbonura@yahoo.com
13,mg332,65.0,Michel Garner,mgarner@protonmail.com
14,kd700,1572.0,Karole Dunn,kdunn@yahoo.com
15,as695,563.0,Arndt Schreiber,aschreiber@yahoo.com
16,iv513,65.0,Imen Villeneuve,ivilleneuve@yahoo.com
17,ab842,65.0,Alcina Bonadonna,abonadonna@yandex.com
18,re181,1114.0,Raelene Espinoza,respinoza@outlook.com
19,kn133,65.0,Kati Nash,knash@protonmail.com
20,gj893,65.0,Georg Jager,gjager@yahoo.com
21,vp915,948.0,Virgilio Paolella,vpaolella@gmail.com
22,ja995,563.0,Jerrica Avila,javila@protonmail.com
23,ga249,563.0,Gianni Achterberg,gachterberg@live.com
24,td403,65.0,Timoteo Dion,tdion@gmail.com
25,tv463,1572.0,Teodoro Verno,tverno@yandex.com
26,mw606,65.0,Morris Waller,mwaller@protonmail.com
27,hc648,65.0,Hans Chen,hchen@yandex.com
28,ta379,563.0,Trilby Auer,tauer@yahoo.com
29,tj583,1572.0,Theola Jodoin,tjodoin@yandex.com
30,tc559,65.0,Tova Capri,tcapri@live.com
31,ww629,65.0,Wanda Walton,wwalton@protonmail.com
32,jg155,1572.0,Justine Gill,jgill@yahoo.com
33,jd328,1911.0,Julee Doyle,jdoyle@gmail.com
34,ld239,65.0,Lisbeth Deliso,ldeliso@gmail.com
35,cv918,968.0,Carl Valdez,cvaldez@gmail.com
36,kb145,563.0,Kelyan Butler,kbutler@yahoo.com
37,dw578,65.0,Donat Weber,dweber@live.com
38,ad511,65.0,Alethia Delorme,adelorme@outlook.com
39,db633,65.0,Darrell Bernardi,dbernardi@yandex.com
40,cr369,65.0,Carina Reeves,creeves@gmail.com
41,mr978,65.0,Marvin Ruiz,mruiz@outlook.com
42,md167,1572.0,Mariabella Duerr,mduerr@live.com
43,jr877,1572.0,Jeni Ricco,jricco@live.com
44,om753,65.0,Otto Munoz,omunoz@yahoo.com
45,ng231,1114.0,Nesrine Gensch,ngensch@yandex.com
46,tl316,65.0,Tullio Lejeune,tlejeune@outlook.com
47,dl139,563.0,Dreama Lonardo,dlonardo@live.com
48,mw253,968.0,Maryrose West,mwest@live.com
49,im424,65.0,Irina Mays,imays@yandex.com
50,mb131,968.0,Marcelo Brose,mbrose@protonmail.com
51,nc240,1572.0,Nestor Coutant,ncoutant@gmail.com
52,ab318,1572.0,Aloysius Braun,abraun@live.com
53,af301,65.0,Amos Ferre,aferre@gmail.com
54,bl736,563.0,Brigitte Lynch,blynch@outlook.com
55,ar957,65.0,Alegra Ramsey,aramsey@yahoo.com
56,cb474,968.0,Conchita Beitel,cbeitel@gmail.com
57,dv246,1572.0,Donnie Vernet,dvernet@protonmail.com
58,cj111,563.0,Cyril Jones,cjones@protonmail.com
59,lh765,563.0,Lucinda Hays,lhays@outlook.com
60,wh697,65.0,Walter Hermann,whermann@outlook.com
61,eb714,65.0,Emil Blanc,eblanc@protonmail.com
62,ec356,1572.0,Eldwin Cesare,ecesare@protonmail.com
63,yh129,65.0,Yusuf Hudson,yhudson@protonmail.com
64,as494,65.0,Arrigo Salazar,asalazar@gmail.com
65,lb146,563.0,Levi Beck,lbeck@gmail.com
66,cc470,563.0,Celinda Caillet,ccaillet@yandex.com
67,mm239,563.0,Marcus Medici,mmedici@gmail.com
68,dg360,65.0,Daysi Gamble,dgamble@yahoo.com
69,rh399,1572.0,Rory Hildebrand,rhildebrand@yahoo.com
70,hr430,65.0,Heini Raffin,hraffin@yahoo.com
71,ar829,65.0,Anna Randall,arandall@outlook.com
72,sw301,65.0,Sharmaine Weber,sweber@yahoo.com
73,rr355,65.0,Ranee Renault,rrenault@outlook.com
74,zc515,1572.0,Zak Cianciola,zcianciola@yahoo.com
75,gp101,65.0,Granville Potts,gpotts@gmail.com
76,bm741,65.0,Bo Marsh,bmarsh@live.com
77,jd148,65.0,Jay Duerr,jduerr@yahoo.com
78,mm632,65.0,Milla Morin,mmorin@yahoo.com
79,ls884,65.0,Leanne Savage,lsavage@gmail.com
80,sp364,968.0,Silvana Patton,spatton@live.com
81,hh963,65.0,Harvey Hoch,hhoch@outlook.com
82,sb272,65.0,Seth Berthier,sberthier@protonmail.com
83,et566,1114.0,Eugen Trani,etrani@protonmail.com
84,sd421,1572.0,Santina Dieter,sdieter@yahoo.com
